Tag,RANK,TotalRank,Questions,QuestionsTotal,Rank Changes
python,1,3,224766,1792445,u 1
javascript,2,1,188896,2268416,d 1
java,3,2,126657,1797684,-
c#,4,4,99754,1496762,-
android,5,6,85204,1347683,-
php,6,5,78277,1413904,-
html,7,7,76694,1089726,-
python-3.x,8,25,61202,294111,u 6
reactjs,9,19,59478,330119,u 8
angular,10,29,50599,261452,d 1
r,11,14,50178,418148,u 1
css,12,10,50105,731465,d 4
sql,13,13,49517,603820,d 2
c++,14,9,49482,736877,d 1
node.js,15,15,48444,401220,-
pandas,16,35,38826,214865,u 5
mysql,17,12,38475,631451,d 1
jquery,18,8,38212,1017144,d 8
swift,19,24,34753,301890,-
ios,20,11,32916,660573,d 2
arrays,21,16,30697,372015,d 1
typescript,22,46,29064,159040,u 6
django,23,27,28386,274722,u 3
laravel,24,42,27909,180504,u 1
json,25,21,27690,325290,d 3
excel,26,30,27483,251198,d 3
sql-server,27,23,26059,308816,d 3
c,28,18,25546,364330,d 1
vba,29,39,22238,191591,-
spring-boot,30,60,21118,110157,u 3
react-native,31,67,20773,105028,u 3
flutter,32,72,19823,100395,u 54
vue.js,33,90,18602,83587,u 12
regex,34,31,18495,243726,d 2
firebase,35,59,18215,117078,d 5
docker,36,69,18079,102772,u 2
spring,37,40,17041,188474,d 6
amazon-web-services,38,56,16966,122888,d 2
dataframe,39,70,15678,102551,u 10
postgresql,40,50,15656,142568,u 2
azure,41,63,15151,108646,u 7
mongodb,42,47,14394,152639,d 1
wordpress,43,43,14325,179401,d 8
kotlin,44,119,13683,62401,u 23
.net,45,22,13658,310935,d 5
tensorflow,46,101,13211,71833,-
asp.net-core,47,116,12941,63074,u 24
ruby-on-rails,48,20,12894,328085,d 11
numpy,49,77,12694,93777,u 9
bash,50,51,12280,137977,u 1
oracle,51,52,12267,136621,u 1
linux,52,36,12143,208146,d 8
asp.net,53,17,12004,364447,d 14
powershell,54,74,11658,95751,u 8
string,55,44,11634,167967,d 2
list,56,58,11593,120627,u 5
database,57,41,11297,180821,d 10
git,58,53,11172,136246,d 3
ajax,59,34,10871,217093,d 16
dart,60,130,10706,56849,new
selenium,61,81,10343,89766,u 2
xml,62,37,10335,204014,d 8
express,63,95,9921,79632,u 5
windows,64,48,9714,152137,u 1
apache-spark,65,103,9608,70398,d 8
kubernetes,66,185,9340,41391,u 26
asp.net-mvc,67,38,9296,195554,d 11
ruby,68,33,9240,220884,d 8
unity3d,69,125,9185,59533,u 7
api,70,78,9145,93589,u 3
scala,71,66,8950,105581,d 12
keras,72,221,8663,36738,u 24
function,73,73,8268,96945,u 2
xcode,74,49,8233,151478,d 2
.net-core,75,235,7983,35336,new
loops,76,89,7915,83831,u 2
visual-studio,77,68,7797,104509,d 8
matplotlib,78,123,7759,60545,u 9
wpf,79,45,7673,162744,d 9
go,80,134,7656,56035,d 1
android-studio,81,92,7648,80561,d 17
csv,82,96,7458,79290,-
algorithm,83,61,7273,109660,d 2
machine-learning,84,155,7150,47315,u 4
multithreading,85,55,7144,131158,d 11
rest,86,88,6919,84106,d 9
macos,87,62,6864,108803,d 4
google-cloud-platform,88,249,6824,32710,new
dictionary,89,111,6733,65311,u 6
google-cloud-firestore,90,269,6721,30124,new
google-sheets,91,209,6632,37967,new
google-apps-script,92,181,6598,41636,new
vb.net,93,54,6551,135059,d 3
visual-studio-code,94,213,6467,37705,new
flask,95,157,6396,47076,new
opencv,96,113,6386,64230,new
shell,97,87,6372,84161,d 12
bootstrap-4,98,301,6355,26582,new
elasticsearch,99,144,6239,51750,new
maven,100,93,6122,80521,d 16
