Tag,Rank,TotalRank,Questions,QuestionsTotal,Rank Changes
python,1,3,84512,1792445,-
javascript,2,1,62442,2268416,-
java,3,2,35651,1797684,-
c#,4,4,25192,1496762,-
reactjs,5,19,24694,330119,u 2
html,6,7,24558,1089726,-
android,7,6,21591,1347683,d 2
php,8,5,19257,1413904,-
python-3.x,9,25,19042,294111,-
c++,10,9,18342,736877,u 2
r,11,14,17651,418148,d 1
node.js,12,15,16758,401220,u 1
css,13,10,16152,731465,u 1
pandas,14,35,14685,214865,u 2
sql,15,13,14460,603820,d 4
angular,16,29,12693,261452,d 1
flutter,17,72,10804,100395,u 9
arrays,18,16,10801,372015,u 2
mysql,19,12,10364,631451,d 2
swift,20,24,10184,301890,d 1
django,21,27,10140,274722,u 1
typescript,22,46,9613,159040,u 1
jquery,23,8,9572,1017144,d 5
c,24,18,9248,364330,u 4
ios,25,11,8798,660573,d 4
json,26,21,8653,325290,d 1
laravel,27,42,8344,180504,d 3
firebase,28,59,7230,117078,u 8
react-native,29,67,6965,105028,u 2
spring-boot,30,60,6947,110157,-
excel,31,30,6779,251198,d 4
dataframe,32,70,6462,102551,u 1
vue.js,33,90,6254,83587,d 1
sql-server,34,23,6122,308816,d 5
amazon-web-services,35,56,6003,122888,u 2
docker,36,69,5909,102772,d 1
mongodb,37,47,5627,152639,u 4
vba,38,39,5258,191591,d 4
postgresql,39,50,5257,142568,d 1
dart,40,130,5252,56849,u 9
regex,41,31,5225,243726,d 1
spring,42,40,5210,188474,d 3
list,43,58,4808,120627,u 3
azure,44,63,4774,108646,d 2
linux,45,36,4758,208146,-
kotlin,46,119,4715,62401,d 3
numpy,47,77,4606,93777,u 3
asp.net-core,48,116,4324,63074,d 4
tensorflow,49,101,4111,71833,u 2
string,50,44,4014,167967,u 2
database,51,41,3934,180821,u 3
wordpress,52,43,3865,179401,d 4
express,53,95,3745,79632,u 6
.net,54,22,3720,310935,d 7
oracle,55,52,3675,136621,-
bash,56,51,3616,137977,d 3
android-studio,57,92,3573,80561,u 8
api,58,78,3549,93589,u 4
selenium,59,81,3525,89766,u 1
powershell,60,74,3381,95751,d 4
git,61,53,3322,136246,d 4
function,62,73,3315,96945,u 8
google-cloud-firestore,63,269,3300,30124,u 22
windows,64,48,3280,152137,d 1
matplotlib,65,123,3272,60545,u 7
flask,66,157,3142,47076,u 24
ruby-on-rails,67,20,3048,328085,d 9
kubernetes,68,185,3004,41391,d 4
loops,69,89,3003,83831,u 2
xcode,70,49,2993,151478,d 2
xml,71,37,2986,204014,d 5
asp.net,72,17,2888,364447,d 11
apache-spark,73,103,2825,70398,u 3
ajax,74,34,2792,217093,d 5
keras,75,221,2757,36738,d 2
algorithm,76,61,2716,109660,u 7
visual-studio-code,77,213,2715,37705,u 12
.net-core,78,235,2702,35336,d 11
dictionary,79,111,2601,65311,u 3
unity3d,80,125,2593,59533,u 14
swiftui,81,391,2562,20639,u 7
scala,82,66,2500,105581,d 2
visual-studio,83,68,2464,104509,d 5
csv,84,96,2447,79290,d 3
machine-learning,85,155,2429,47315,d 11
web-scraping,86,201,2425,38863,u 13
for-loop,87,122,2358,60980,u 5
google-cloud-platform,88,249,2348,32710,d 4
ggplot2,89,174,2324,43647,new
google-sheets,90,209,2316,37967,d 11
go,91,134,2282,56035,d 5
macos,92,62,2264,108803,d 1
asp.net-mvc,93,38,2254,195554,d 18
multithreading,94,55,2246,131158,u 1
google-apps-script,95,181,2188,41636,d 8
tkinter,96,184,2182,41452,new
react-hooks,97,494,2177,16523,new
class,98,100,2110,72394,new
ruby,99,33,2085,220884,d 22
bootstrap-4,100,301,2074,26582,new
