Tag,RANK,TotalRank,Questions,QuestionsTotal,Rank Changes
python,1,3,73508,1792445,-
javascript,2,1,56682,2268416,-
java,3,2,30057,1797684,-
reactjs,4,19,23358,330119,u 1
c#,5,4,21951,1496762,d 1
html,6,7,21801,1089726,-
android,7,6,18877,1347683,-
php,8,5,16369,1413904,-
python-3.x,9,25,16259,294111,-
node.js,10,15,16067,401220,u 2
css,11,10,14685,731465,u 2
r,12,14,14646,418148,d 1
c++,13,9,14138,736877,d 3
pandas,14,35,12858,214865,-
sql,15,13,12570,603820,-
angular,16,29,11143,261452,-
flutter,17,72,10045,100395,-
django,18,27,9610,274722,u 3
typescript,19,46,8992,159040,u 3
arrays,20,16,8885,372015,d 2
mysql,21,12,8649,631451,d 2
swift,22,24,8571,301890,d 2
jquery,23,8,8252,1017144,-
ios,24,11,7877,660573,u 1
laravel,25,42,7502,180504,u 2
json,26,21,7489,325290,-
react-native,27,67,6366,105028,u 2
spring-boot,28,60,6327,110157,u 2
amazon-web-services,29,56,6325,122888,u 6
c,30,18,6255,364330,d 6
dataframe,31,70,6230,102551,u 1
firebase,32,59,6026,117078,d 4
excel,33,30,5983,251198,d 2
vue.js,34,90,5738,83587,d 1
sql-server,35,23,5439,308816,d 1
docker,36,69,5436,102772,-
postgresql,37,50,5200,142568,u 2
mongodb,38,47,5110,152639,d 1
dart,39,130,4968,56849,u 1
spring,40,40,4682,188474,u 2
azure,41,63,4563,108646,u 3
vba,42,39,4372,191591,d 4
kotlin,43,119,4198,62401,u 3
regex,44,31,4050,243726,d 3
asp.net-core,45,116,3989,63074,u 3
numpy,46,77,3882,93777,u 1
tensorflow,47,101,3863,71833,u 2
linux,48,36,3818,208146,d 3
list,49,58,3736,120627,d 6
wordpress,50,43,3723,179401,u 2
api,51,78,3462,93589,u 7
selenium,52,81,3379,89766,u 7
express,53,95,3352,79632,-
.net,54,22,3312,310935,-
string,55,44,3290,167967,d 5
powershell,56,74,3060,95751,u 4
android-studio,57,92,3004,80561,-
git,58,53,2971,136246,u 3
oracle,59,52,2970,136621,d 4
database,60,41,2969,180821,d 9
kubernetes,61,185,2869,41391,u 7
bash,62,51,2832,137977,d 6
flask,63,157,2748,47076,u 3
google-cloud-firestore,64,269,2731,30124,d 1
swiftui,65,391,2720,20639,u 16
matplotlib,66,123,2702,60545,d 1
windows,67,48,2679,152137,d 3
visual-studio-code,68,213,2632,37705,u 9
asp.net,69,17,2617,364447,u 3
apache-spark,70,103,2563,70398,u 3
function,71,73,2561,96945,d 9
ruby-on-rails,72,20,2532,328085,d 5
xml,73,37,2502,204014,d 2
.net-core,74,235,2481,35336,u 4
keras,75,221,2460,36738,-
xcode,76,49,2440,151478,d 6
loops,77,89,2333,83831,d 8
tkinter,78,184,2328,41452,u 18
ajax,79,34,2279,217093,d 5
algorithm,80,61,2243,109660,d 4
google-cloud-platform,81,249,2195,32710,u 7
web-scraping,82,201,2158,38863,u 4
unity3d,83,125,2154,59533,d 3
go,84,134,2151,56035,u 7
dictionary,85,111,2135,65311,d 6
csv,86,96,2059,79290,d 2
visual-studio,87,68,2034,104509,d 4
for-loop,88,122,1993,60980,d 1
macos,89,62,1966,108803,u 3
google-sheets,90,209,1948,37967,-
asp.net-mvc,91,38,1900,195554,u 2
multithreading,92,55,1878,131158,u 2
scala,93,66,1867,105581,d 11
mongoose,94,191,1854,39630,new
bootstrap-4,95,301,1844,26582,u 5
google-apps-script,96,181,1836,41636,d 1
datetime,97,120,1828,62342,new
wpf,98,45,1820,162744,new
ruby,99,33,1802,220884,-
discord,100,565,1775,14089,new
