MONTH,TagName,Questions
"2019-09-01 00:00:00","apl","1"
"2019-09-01 00:00:00","clojure","76"
"2019-09-01 00:00:00","cobol","10"
"2019-09-01 00:00:00","crystal-lang","4"
"2019-09-01 00:00:00","elixir","66"
"2019-09-01 00:00:00","erlang","28"
"2019-09-01 00:00:00","f#","59"
"2019-09-01 00:00:00","fortran","81"
"2019-09-01 00:00:00","groovy","145"
"2019-09-01 00:00:00","julia","160"
"2019-09-01 00:00:00","lisp","22"
"2019-09-01 00:00:00","lua","95"
"2019-09-01 00:00:00","pascal","7"
"2019-09-01 00:00:00","solidity","35"
"2019-10-01 00:00:00","apl","6"
"2019-10-01 00:00:00","clojure","49"
"2019-10-01 00:00:00","cobol","7"
"2019-10-01 00:00:00","crystal-lang","6"
"2019-10-01 00:00:00","elixir","66"
"2019-10-01 00:00:00","erlang","33"
"2019-10-01 00:00:00","f#","75"
"2019-10-01 00:00:00","fortran","77"
"2019-10-01 00:00:00","groovy","203"
"2019-10-01 00:00:00","julia","153"
"2019-10-01 00:00:00","lisp","48"
"2019-10-01 00:00:00","lua","107"
"2019-10-01 00:00:00","pascal","11"
"2019-10-01 00:00:00","solidity","30"
"2019-11-01 00:00:00","apl","3"
"2019-11-01 00:00:00","clojure","61"
"2019-11-01 00:00:00","cobol","7"
"2019-11-01 00:00:00","crystal-lang","2"
"2019-11-01 00:00:00","elixir","76"
"2019-11-01 00:00:00","erlang","30"
"2019-11-01 00:00:00","f#","100"
"2019-11-01 00:00:00","fortran","88"
"2019-11-01 00:00:00","groovy","146"
"2019-11-01 00:00:00","julia","93"
"2019-11-01 00:00:00","lisp","39"
"2019-11-01 00:00:00","lua","129"
"2019-11-01 00:00:00","pascal","15"
"2019-11-01 00:00:00","solidity","30"
"2019-12-01 00:00:00","clojure","60"
"2019-12-01 00:00:00","cobol","8"
"2019-12-01 00:00:00","crystal-lang","17"
"2019-12-01 00:00:00","elixir","70"
"2019-12-01 00:00:00","erlang","31"
"2019-12-01 00:00:00","f#","83"
"2019-12-01 00:00:00","fortran","52"
"2019-12-01 00:00:00","groovy","145"
"2019-12-01 00:00:00","julia","110"
"2019-12-01 00:00:00","lisp","34"
"2019-12-01 00:00:00","lua","112"
"2019-12-01 00:00:00","pascal","11"
"2019-12-01 00:00:00","solidity","22"
"2020-01-01 00:00:00","apl","4"
"2020-01-01 00:00:00","clojure","58"
"2020-01-01 00:00:00","cobol","11"
"2020-01-01 00:00:00","crystal-lang","5"
"2020-01-01 00:00:00","elixir","57"
"2020-01-01 00:00:00","erlang","27"
"2020-01-01 00:00:00","f#","66"
"2020-01-01 00:00:00","fortran","69"
"2020-01-01 00:00:00","groovy","189"
"2020-01-01 00:00:00","julia","145"
"2020-01-01 00:00:00","lisp","29"
"2020-01-01 00:00:00","lua","116"
"2020-01-01 00:00:00","pascal","11"
"2020-01-01 00:00:00","solidity","29"
"2020-02-01 00:00:00","apl","4"
"2020-02-01 00:00:00","clojure","76"
"2020-02-01 00:00:00","cobol","9"
"2020-02-01 00:00:00","crystal-lang","9"
"2020-02-01 00:00:00","elixir","46"
"2020-02-01 00:00:00","erlang","23"
"2020-02-01 00:00:00","f#","64"
"2020-02-01 00:00:00","fortran","70"
"2020-02-01 00:00:00","groovy","150"
"2020-02-01 00:00:00","julia","98"
"2020-02-01 00:00:00","lisp","52"
"2020-02-01 00:00:00","lua","107"
"2020-02-01 00:00:00","pascal","13"
"2020-02-01 00:00:00","solidity","22"
"2020-03-01 00:00:00","apl","11"
"2020-03-01 00:00:00","clojure","96"
"2020-03-01 00:00:00","cobol","5"
"2020-03-01 00:00:00","crystal-lang","6"
"2020-03-01 00:00:00","elixir","69"
"2020-03-01 00:00:00","erlang","39"
"2020-03-01 00:00:00","f#","71"
"2020-03-01 00:00:00","fortran","66"
"2020-03-01 00:00:00","groovy","172"
"2020-03-01 00:00:00","julia","113"
"2020-03-01 00:00:00","lisp","24"
"2020-03-01 00:00:00","lua","147"
"2020-03-01 00:00:00","pascal","14"
"2020-03-01 00:00:00","solidity","12"
"2020-04-01 00:00:00","apl","3"
"2020-04-01 00:00:00","clojure","74"
"2020-04-01 00:00:00","cobol","14"
"2020-04-01 00:00:00","crystal-lang","4"
"2020-04-01 00:00:00","elixir","89"
"2020-04-01 00:00:00","erlang","26"
"2020-04-01 00:00:00","f#","90"
"2020-04-01 00:00:00","fortran","79"
"2020-04-01 00:00:00","groovy","176"
"2020-04-01 00:00:00","julia","136"
"2020-04-01 00:00:00","lisp","49"
"2020-04-01 00:00:00","lua","164"
"2020-04-01 00:00:00","pascal","25"
"2020-04-01 00:00:00","solidity","29"
"2020-05-01 00:00:00","apl","1"
"2020-05-01 00:00:00","clojure","70"
"2020-05-01 00:00:00","cobol","20"
"2020-05-01 00:00:00","crystal-lang","5"
"2020-05-01 00:00:00","elixir","77"
"2020-05-01 00:00:00","erlang","42"
"2020-05-01 00:00:00","f#","104"
"2020-05-01 00:00:00","fortran","96"
"2020-05-01 00:00:00","groovy","182"
"2020-05-01 00:00:00","julia","169"
"2020-05-01 00:00:00","lisp","40"
"2020-05-01 00:00:00","lua","182"
"2020-05-01 00:00:00","pascal","11"
"2020-05-01 00:00:00","solidity","42"
"2020-06-01 00:00:00","apl","4"
"2020-06-01 00:00:00","clojure","56"
"2020-06-01 00:00:00","cobol","19"
"2020-06-01 00:00:00","crystal-lang","7"
"2020-06-01 00:00:00","elixir","58"
"2020-06-01 00:00:00","erlang","32"
"2020-06-01 00:00:00","f#","97"
"2020-06-01 00:00:00","fortran","106"
"2020-06-01 00:00:00","groovy","153"
"2020-06-01 00:00:00","julia","125"
"2020-06-01 00:00:00","lisp","20"
"2020-06-01 00:00:00","lua","155"
"2020-06-01 00:00:00","pascal","12"
"2020-06-01 00:00:00","solidity","23"
"2020-07-01 00:00:00","clojure","51"
"2020-07-01 00:00:00","cobol","9"
"2020-07-01 00:00:00","crystal-lang","4"
"2020-07-01 00:00:00","elixir","54"
"2020-07-01 00:00:00","erlang","31"
"2020-07-01 00:00:00","f#","93"
"2020-07-01 00:00:00","fortran","79"
"2020-07-01 00:00:00","groovy","149"
"2020-07-01 00:00:00","julia","144"
"2020-07-01 00:00:00","lisp","20"
"2020-07-01 00:00:00","lua","142"
"2020-07-01 00:00:00","pascal","11"
"2020-07-01 00:00:00","solidity","30"
"2020-08-01 00:00:00","apl","4"
"2020-08-01 00:00:00","clojure","46"
"2020-08-01 00:00:00","cobol","4"
"2020-08-01 00:00:00","crystal-lang","4"
"2020-08-01 00:00:00","elixir","61"
"2020-08-01 00:00:00","erlang","26"
"2020-08-01 00:00:00","f#","81"
"2020-08-01 00:00:00","fortran","70"
"2020-08-01 00:00:00","groovy","149"
"2020-08-01 00:00:00","julia","139"
"2020-08-01 00:00:00","lisp","12"
"2020-08-01 00:00:00","lua","158"
"2020-08-01 00:00:00","pascal","9"
"2020-08-01 00:00:00","solidity","31"
"2020-09-01 00:00:00","apl","1"
"2020-09-01 00:00:00","clojure","49"
"2020-09-01 00:00:00","cobol","18"
"2020-09-01 00:00:00","crystal-lang","5"
"2020-09-01 00:00:00","elixir","36"
"2020-09-01 00:00:00","erlang","35"
"2020-09-01 00:00:00","f#","88"
"2020-09-01 00:00:00","fortran","70"
"2020-09-01 00:00:00","groovy","180"
"2020-09-01 00:00:00","julia","109"
"2020-09-01 00:00:00","lisp","18"
"2020-09-01 00:00:00","lua","131"
"2020-09-01 00:00:00","pascal","17"
"2020-09-01 00:00:00","solidity","29"
"2020-10-01 00:00:00","apl","4"
"2020-10-01 00:00:00","clojure","50"
"2020-10-01 00:00:00","cobol","6"
"2020-10-01 00:00:00","crystal-lang","4"
"2020-10-01 00:00:00","elixir","39"
"2020-10-01 00:00:00","erlang","26"
"2020-10-01 00:00:00","f#","90"
"2020-10-01 00:00:00","fortran","60"
"2020-10-01 00:00:00","groovy","152"
"2020-10-01 00:00:00","julia","171"
"2020-10-01 00:00:00","lisp","45"
"2020-10-01 00:00:00","lua","145"
"2020-10-01 00:00:00","pascal","18"
"2020-10-01 00:00:00","solidity","48"
"2020-11-01 00:00:00","apl","1"
"2020-11-01 00:00:00","clojure","45"
"2020-11-01 00:00:00","cobol","9"
"2020-11-01 00:00:00","crystal-lang","4"
"2020-11-01 00:00:00","elixir","49"
"2020-11-01 00:00:00","erlang","37"
"2020-11-01 00:00:00","f#","97"
"2020-11-01 00:00:00","fortran","99"
"2020-11-01 00:00:00","groovy","142"
"2020-11-01 00:00:00","julia","187"
"2020-11-01 00:00:00","lisp","33"
"2020-11-01 00:00:00","lua","154"
"2020-11-01 00:00:00","pascal","19"
"2020-11-01 00:00:00","solidity","53"
"2020-12-01 00:00:00","apl","3"
"2020-12-01 00:00:00","clojure","56"
"2020-12-01 00:00:00","cobol","14"
"2020-12-01 00:00:00","crystal-lang","3"
"2020-12-01 00:00:00","elixir","74"
"2020-12-01 00:00:00","erlang","41"
"2020-12-01 00:00:00","f#","96"
"2020-12-01 00:00:00","fortran","87"
"2020-12-01 00:00:00","groovy","187"
"2020-12-01 00:00:00","julia","178"
"2020-12-01 00:00:00","lisp","30"
"2020-12-01 00:00:00","lua","166"
"2020-12-01 00:00:00","pascal","21"
"2020-12-01 00:00:00","solidity","55"
"2021-01-01 00:00:00","clojure","59"
"2021-01-01 00:00:00","cobol","9"
"2021-01-01 00:00:00","elixir","77"
"2021-01-01 00:00:00","erlang","30"
"2021-01-01 00:00:00","f#","87"
"2021-01-01 00:00:00","fortran","102"
"2021-01-01 00:00:00","groovy","164"
"2021-01-01 00:00:00","julia","229"
"2021-01-01 00:00:00","lisp","36"
"2021-01-01 00:00:00","lua","178"
"2021-01-01 00:00:00","pascal","16"
"2021-01-01 00:00:00","solidity","58"
"2021-02-01 00:00:00","apl","1"
"2021-02-01 00:00:00","clojure","44"
"2021-02-01 00:00:00","cobol","12"
"2021-02-01 00:00:00","crystal-lang","3"
"2021-02-01 00:00:00","elixir","58"
"2021-02-01 00:00:00","erlang","28"
"2021-02-01 00:00:00","f#","103"
"2021-02-01 00:00:00","fortran","70"
"2021-02-01 00:00:00","groovy","171"
"2021-02-01 00:00:00","julia","162"
"2021-02-01 00:00:00","lisp","45"
"2021-02-01 00:00:00","lua","132"
"2021-02-01 00:00:00","pascal","19"
"2021-02-01 00:00:00","solidity","50"
"2021-03-01 00:00:00","apl","2"
"2021-03-01 00:00:00","clojure","46"
"2021-03-01 00:00:00","cobol","8"
"2021-03-01 00:00:00","crystal-lang","4"
"2021-03-01 00:00:00","elixir","54"
"2021-03-01 00:00:00","erlang","25"
"2021-03-01 00:00:00","f#","107"
"2021-03-01 00:00:00","fortran","89"
"2021-03-01 00:00:00","groovy","189"
"2021-03-01 00:00:00","julia","156"
"2021-03-01 00:00:00","lisp","31"
"2021-03-01 00:00:00","lua","163"
"2021-03-01 00:00:00","pascal","20"
"2021-03-01 00:00:00","solidity","97"
"2021-04-01 00:00:00","apl","2"
"2021-04-01 00:00:00","clojure","38"
"2021-04-01 00:00:00","cobol","11"
"2021-04-01 00:00:00","crystal-lang","3"
"2021-04-01 00:00:00","elixir","43"
"2021-04-01 00:00:00","erlang","20"
"2021-04-01 00:00:00","f#","68"
"2021-04-01 00:00:00","fortran","61"
"2021-04-01 00:00:00","groovy","177"
"2021-04-01 00:00:00","julia","151"
"2021-04-01 00:00:00","lisp","34"
"2021-04-01 00:00:00","lua","159"
"2021-04-01 00:00:00","pascal","25"
"2021-04-01 00:00:00","solidity","154"
"2021-05-01 00:00:00","apl","4"
"2021-05-01 00:00:00","clojure","55"
"2021-05-01 00:00:00","cobol","12"
"2021-05-01 00:00:00","crystal-lang","6"
"2021-05-01 00:00:00","elixir","69"
"2021-05-01 00:00:00","erlang","28"
"2021-05-01 00:00:00","f#","61"
"2021-05-01 00:00:00","fortran","89"
"2021-05-01 00:00:00","groovy","130"
"2021-05-01 00:00:00","julia","149"
